Epochs,Activation function,Hidden nodes,Optimizer,Initializer,Regularizer,In-sample RMSE,Out-of-sample RMSE
100,tanh,5,Momentum,small_random,0.001,0.075801589,0.350944756
100,relu,8,Momentum,small_random,0,0.07585109,0.165682505
100,relu,5,Momentum,small_random,0.0001,0.075857408,0.151504503
300,sigmoid,8,SGD,small_random,0.0001,0.076009698,0.138402664
300,relu,5,Momentum,small_random,0.0001,0.076119974,0.139549476
200,tanh,8,SGD,Xavier,0.001,0.076353028,0.189497157
100,tanh,11,SGD,Xavier,0.0001,0.076457597,0.167068694
100,sigmoid,11,Adam,Xavier,0.001,0.076517485,0.094090272
200,relu,8,SGD,Xavier,0.0001,0.076807894,0.193314649
200,relu,11,SGD,small_random,0.0001,0.076979496,0.154215673
100,relu,5,Adam,Xavier,0.001,0.077048242,0.134828246
300,relu,8,Adam,small_random,0.0001,0.077348359,0.198502807
100,tanh,8,Adam,Xavier,0.001,0.077621557,0.176129763
100,tanh,8,SGD,Xavier,0.001,0.07765051,0.118266663
100,tanh,11,Adam,small_random,0.0001,0.077699043,0.230229661
100,sigmoid,5,Momentum,small_random,0.0001,0.077766955,0.110089462
100,relu,11,SGD,small_random,0.001,0.077973373,0.159075286
100,relu,8,SGD,Xavier,0,0.078029171,0.14769432
100,sigmoid,8,Momentum,small_random,0,0.078162283,0.139245074
200,sigmoid,11,SGD,Xavier,0.001,0.078213871,0.096351625
300,relu,8,Momentum,small_random,0.0001,0.078418858,0.117169183
100,sigmoid,8,Adam,Xavier,0,0.078593165,0.117919226
200,sigmoid,8,SGD,Xavier,0.0001,0.078610308,0.125386806
200,sigmoid,8,SGD,Xavier,0,0.078796759,0.211675197
200,sigmoid,8,Momentum,small_random,0,0.079116777,0.176277038
200,sigmoid,8,Adam,small_random,0.001,0.079204991,0.074428437
300,tanh,11,SGD,small_random,0.0001,0.079284891,0.179754637
100,relu,5,SGD,Xavier,0.0001,0.079366811,0.440855739
200,sigmoid,8,SGD,small_random,0.001,0.079756528,0.211227826
100,sigmoid,11,Momentum,small_random,0,0.080211528,0.184862629
300,tanh,11,SGD,small_random,0.001,0.080413811,0.19455608
300,sigmoid,5,SGD,Xavier,0.001,0.080523647,0.114673073
300,sigmoid,5,SGD,small_random,0.001,0.080551982,0.322811735
200,tanh,11,SGD,small_random,0.001,0.080590807,0.153919437
100,relu,8,Momentum,small_random,0.0001,0.081028126,0.110224053
100,tanh,8,Adam,small_random,0.001,0.081150442,0.254637847
200,tanh,5,SGD,small_random,0.0001,0.08115986,0.118501728
100,sigmoid,11,SGD,Xavier,0.0001,0.08143498,0.104318384
100,relu,5,SGD,Xavier,0,0.081558049,0.177742073
200,relu,5,SGD,small_random,0,0.081605271,0.126601387
300,relu,11,SGD,small_random,0,0.082256705,0.28368864
300,sigmoid,5,Adam,small_random,0.001,0.083002791,0.167151652
300,relu,8,SGD,small_random,0.0001,0.083331384,0.164073613
200,sigmoid,11,SGD,Xavier,0.0001,0.083435133,0.196211447
200,relu,11,Momentum,small_random,0.001,0.083597526,0.485522811
200,tanh,5,Adam,small_random,0.0001,0.083966732,0.315855878
200,sigmoid,11,SGD,small_random,0.001,0.084902018,0.125975526
200,sigmoid,5,Adam,small_random,0,0.085047826,0.140342146
300,sigmoid,11,SGD,Xavier,0,0.085486755,0.177261547
100,tanh,8,Momentum,small_random,0.0001,0.08551833,0.145529722
100,relu,5,Momentum,small_random,0.001,0.085524827,0.294870274
200,sigmoid,11,SGD,Xavier,0,0.085674278,0.148299147
200,tanh,8,Adam,small_random,0.0001,0.08589261,0.194828837
300,relu,8,SGD,small_random,0,0.086402789,0.289057402
100,relu,11,SGD,Xavier,0,0.086449049,0.10232502
